split,date,experiment,seed,loss,n_epochs,batch_size,ood_ratio,imsize,detector,l1_AUROC,l1_AUPR-IN,l1_AUPR-OUT,l1_ACC95TPR,l1_FPR95TPR,l2_AUROC,l2_AUPR-IN,l2_AUPR-OUT,l2_ACC95TPR,l2_FPR95TPR,l3_AUROC,l3_AUPR-IN,l3_AUPR-OUT,l3_ACC95TPR,l3_FPR95TPR
split1,2022_08_04,1,3591953201553041100,ring,100,64,0.2,big,NegativeEnergy,0.9263036251068115,0.7183040380477905,0.9766046404838562,0.7917879819869995,0.25626423954963684,0.8164882659912109,0.521871030330658,0.9314630627632141,0.5317413806915283,0.595292329788208,0.7208822965621948,0.3016529679298401,0.9259390830993652,0.3363114297389984,0.7801822423934937
split1,2022_08_04,1,9022907567260578381,cutmix,100,64,0.2,big,ODIN,0.6726229190826416,0.3478628993034363,0.8796243667602539,0.42778101563453674,0.7308276295661926,0.8831639289855957,0.6184110641479492,0.9633293747901917,0.6988934278488159,0.3773728311061859,0.7816423773765564,0.3075617551803589,0.9544128775596619,0.5564773678779602,0.518223226070404
split1,2022_08_04,1,9022907567260578381,cutmix,100,64,0.2,big,Softmax,0.8777107000350952,0.575272798538208,0.9633445739746094,0.7376237511634827,0.32687926292419434,0.8887699842453003,0.5640568733215332,0.9685037732124329,0.7949912548065186,0.2520880699157715,0.7288717031478882,0.2643028199672699,0.939980149269104,0.4664964973926544,0.625284731388092
split1,2022_08_04,1,9022907567260578381,cutmix,100,64,0.2,big,NegativeEnergy,0.8628219962120056,0.5526447296142578,0.9574013352394104,0.6951077580451965,0.3823082745075226,0.7907237410545349,0.42082419991493225,0.9341029524803162,0.6126965880393982,0.4897494316101074,0.5291328430175781,0.16876007616519928,0.8664377927780151,0.24633057415485382,0.8872437477111816
split1,2022_08_08,1,3492885866660944498,cutmix,100,64,0.2,big,ODIN,0.6192194223403931,0.3114473819732666,0.8557419180870056,0.3974956274032593,0.7703112959861755,0.8479180932044983,0.5254288911819458,0.9548463225364685,0.7195690274238586,0.3504176139831543,0.8211601972579956,0.3672325909137726,0.9638248682022095,0.6097638607025146,0.45482155680656433
split1,2022_08_08,1,3492885866660944498,cutmix,100,64,0.2,big,Softmax,0.8698909282684326,0.548893928527832,0.9616960883140564,0.725975513458252,0.34206530451774597,0.8488352298736572,0.5124959349632263,0.9549049139022827,0.6770529747009277,0.40584662556648254,0.7996082305908203,0.3222734034061432,0.9595259428024292,0.6021059155464172,0.46393316984176636
split1,2022_08_08,1,3492885866660944498,cutmix,100,64,0.2,big,NegativeEnergy,0.8453943729400635,0.5156971216201782,0.9512616991996765,0.6703552603721619,0.4145785868167877,0.822235643863678,0.4768652319908142,0.9428650140762329,0.6109493374824524,0.4920273423194885,0.6521685719490051,0.22145244479179382,0.9133864641189575,0.3503509759902954,0.763477623462677
split1,2022_08_08,2,3492885866660944498,cutmix,100,64,0.2,big,ODIN,0.6571587920188904,0.33653751015663147,0.8767532110214233,0.46039605140686035,0.6883067488670349,0.8526442646980286,0.542434573173523,0.954684853553772,0.6741409301757812,0.40964311361312866,0.8071449995040894,0.36854010820388794,0.9600595235824585,0.5813656449317932,0.48861047625541687
split1,2022_08_08,2,3492885866660944498,cutmix,100,64,0.2,big,Softmax,0.870764970779419,0.5597894787788391,0.9608362317085266,0.7000582218170166,0.3758542239665985,0.8447622060775757,0.49912697076797485,0.9536654949188232,0.6904484629631042,0.3883826732635498,0.8085459470748901,0.3404500484466553,0.96115642786026,0.6078494191169739,0.45709946751594543
split1,2022_08_08,2,3492885866660944498,cutmix,100,64,0.2,big,NegativeEnergy,0.8621891736984253,0.5483749508857727,0.9573768377304077,0.6633663177490234,0.42369019985198975,0.7813831567764282,0.42314112186431885,0.927899956703186,0.5457192659378052,0.577069103717804,0.70070880651474,0.2463023066520691,0.9300060272216797,0.414486289024353,0.6871678233146667
