split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
civ,2022-09-25,2,1000001,vanilla,100,20,big,Softmax,0.804950495049505,0.6943979263305664,0.5615900754928589,0.6758444309234619,0.7158415913581848,0.9108911156654358,0.7683168053627014,0.7556462287902832,0.6200043559074402,0.6914054155349731,0.6890186667442322,0.6565970182418823,0.8230447769165039,0.7785074710845947,0.7744477391242981
civ,2022-09-25,3,1000002,vanilla,100,20,big,Softmax,0.80990099009901,0.688836395740509,0.5618642568588257,0.6710982322692871,0.7227723002433777,0.9326732754707336,0.7920792102813721,0.7721387147903442,0.7306084632873535,0.7261505722999573,0.7429659366607666,0.6273432970046997,0.6643581986427307,0.6822686791419983,0.660179078578949
civ,2022-09-25,4,1000003,vanilla,100,20,big,Softmax,0.799009900990099,0.7075729370117188,0.5630871057510376,0.6873880624771118,0.698019802570343,0.9039604067802429,0.7752475142478943,0.7787225842475891,0.6583552956581116,0.6884002089500427,0.708492636680603,0.6186268925666809,0.8008358478546143,0.7829253673553467,0.7574925422668457
civ,2022-09-25,5,1000004,vanilla,100,20,big,Softmax,0.804950495049505,0.7281647324562073,0.5782431960105896,0.7072204947471619,0.6673267483711243,0.8900989890098572,0.7217822074890137,0.7359611988067627,0.6566494107246399,0.7414476871490479,0.7113527059555054,0.7207164168357849,0.7994030117988586,0.7104477882385254,0.7516418099403381
civ,2022-09-25,1,1000000,oe,100,20,big,Softmax,0.8158415841584158,0.7128738760948181,0.5978928208351135,0.6968108415603638,0.7673267126083374,0.8851485252380371,0.7930693030357361,0.9999765157699585,0.9996589422225952,0.9999805688858032,0.999872088432312,0.0,0.00011940298281842843,0.00011940298281842843,0.00011940298281842843
civ,2022-09-25,2,1000001,oe,100,20,big,Softmax,0.8168316831683168,0.7343436479568481,0.5971816182136536,0.7151819467544556,0.7514851689338684,0.9049504995346069,0.7871286869049072,0.9999722242355347,0.9996264576911926,0.9999282360076904,0.9998422265052795,0.00011940298281842843,0.00011940298281842843,0.00011940298281842843,0.00011940298281842843
civ,2022-09-25,3,1000002,oe,100,20,big,Softmax,0.80990099009901,0.7355998158454895,0.5878772139549255,0.7149627208709717,0.7594059109687805,0.8910890817642212,0.7940593957901001,0.9999675154685974,0.9993910789489746,0.9999501705169678,0.9997695684432983,0.00011940298281842843,0.0003582089557312429,0.00011940298281842843,0.00011940298281842843
civ,2022-09-25,4,1000003,oe,100,20,big,Softmax,0.803960396039604,0.7267873287200928,0.5859012603759766,0.7071053385734558,0.7376237511634827,0.9029703140258789,0.7851485013961792,0.9999868273735046,0.9996488094329834,0.9999616146087646,0.9998659491539001,0.00011940298281842843,0.0003582089557312429,0.00011940298281842843,0.0003582089557312429
civ,2022-09-25,5,1000004,oe,100,20,big,Softmax,0.807920792079208,0.7087059020996094,0.6130011081695557,0.695335865020752,0.7712871432304382,0.8722772002220154,0.7930693030357361,0.9999755620956421,0.9997445940971375,0.9999725222587585,0.9998976588249207,0.0,0.00023880596563685685,0.00011940298281842843,0.00011940298281842843
civ,2022-09-26,1,1000000,energy,100,20,big,Softmax,0.7544554455445545,0.5774844288825989,0.4583548903465271,0.5608418583869934,0.9940593838691711,0.9801980257034302,0.9940593838691711,0.0032944264821708202,0.002883859444409609,0.0023302186746150255,0.0028361682780086994,1.0,0.9997612237930298,0.9997612237930298,0.9997612237930298
civ,2022-09-26,2,1000001,energy,100,20,big,NegativeEnergy,0.7326732673267327,0.5540010929107666,0.4533751904964447,0.5399434566497803,0.9940593838691711,0.9792079329490662,0.9940593838691711,0.0032313880510628223,0.0029960304964333773,0.002113641705363989,0.0027803536504507065,1.0,1.0,1.0,1.0
civ,2022-09-26,3,1000002,energy,100,20,big,NegativeEnergy,0.692079207920792,0.5296927094459534,0.4577312469482422,0.5196396112442017,0.9891089200973511,0.9613861441612244,0.9891089200973511,0.001200094586238265,0.002139739226549864,0.0006347775924950838,0.0013248705072328448,0.9998806118965149,0.9998806118965149,0.9998806118965149,0.9998806118965149
civ,2022-09-26,4,1000003,energy,100,20,big,NegativeEnergy,0.689108910891089,0.559373676776886,0.4678831696510315,0.5465923547744751,0.9950494766235352,0.9693069458007812,0.9950494766235352,0.0008105584420263767,0.0018784883432090282,0.0003179790801368654,0.0010023419745266438,1.0,1.0,1.0,1.0
civ,2022-09-26,5,1000004,energy,100,20,big,NegativeEnergy,0.7316831683168317,0.5418968200683594,0.4616797864437103,0.5306904315948486,0.9920791983604431,0.9742574095726013,0.9920791983604431,0.003869103267788887,0.003822966944426298,0.001752503216266632,0.0031481911428272724,0.9998806118965149,0.9998806118965149,0.9998806118965149,0.9998806118965149
hard1,2022-09-27,1,1000000,vanilla,100,20,big,Softmax,0.7515986227250369,0.7553178668022156,0.7412578463554382,0.7454478740692139,0.7225774526596069,0.8248893022537231,0.7929168939590454,0.7593458890914917,0.6635136604309082,0.6358303427696228,0.6862300038337708,0.6457964777946472,0.8103982210159302,0.7665929198265076,0.7550885081291199
hard1,2022-09-27,2,1000001,vanilla,100,20,big,Softmax,0.7575012297097885,0.7591094374656677,0.7389549016952515,0.744961142539978,0.7432366013526917,0.7604525089263916,0.7511067390441895,0.7515239715576172,0.6954094171524048,0.6512297987937927,0.699387788772583,0.6608406901359558,0.7548672556877136,0.741150438785553,0.7261061668395996
hard1,2022-09-27,3,1000002,vanilla,100,20,big,Softmax,0.7579931136251845,0.7440432906150818,0.7219599485397339,0.7285409569740295,0.744712233543396,0.8583374619483948,0.815543532371521,0.7631238698959351,0.6538528203964233,0.6515555381774902,0.689510703086853,0.633849561214447,0.806637167930603,0.7181416153907776,0.7400442361831665
hard1,2022-09-27,4,1000003,vanilla,100,20,big,Softmax,0.750122970978849,0.7656580209732056,0.7531708478927612,0.7568921446800232,0.7186424136161804,0.777176558971405,0.7555336952209473,0.7579830288887024,0.6603144407272339,0.610299289226532,0.6761989593505859,0.6511061787605286,0.8146017789840698,0.7703539729118347,0.758849561214447
hard1,2022-09-27,5,1000004,vanilla,100,20,big,Softmax,0.7397934087555337,0.7393651008605957,0.7230918407440186,0.7279414534568787,0.7107722759246826,0.7948843836784363,0.7722577452659607,0.7509795427322388,0.6822675466537476,0.7078695297241211,0.7137055397033691,0.6460176706314087,0.7767699360847473,0.6896017789840698,0.7112832069396973
hard1,2022-09-27,1,1000000,oe,100,20,big,Softmax,0.7570093457943925,0.7610965371131897,0.7656345367431641,0.7642822265625,0.7166748642921448,0.7250369191169739,0.7206099629402161,0.9999982714653015,0.9997045993804932,0.999997079372406,0.9999000430107117,0.0,0.00022123893722891808,0.0,0.0
hard1,2022-09-27,2,1000001,oe,100,20,big,Softmax,0.7663551401869159,0.7540410757064819,0.7593731880187988,0.7577842473983765,0.7363502383232117,0.7565174698829651,0.7525823712348938,0.9999995231628418,0.9996993541717529,0.9999992251396179,0.9998993277549744,0.0,0.0,0.0,0.0
hard1,2022-09-27,3,1000002,oe,100,20,big,Softmax,0.7515986227250369,0.7431709170341492,0.7649257779121399,0.7584425806999207,0.7570093274116516,0.7181504964828491,0.7284801006317139,0.9999932646751404,0.999634861946106,0.9999971985816956,0.999875009059906,0.0,0.00022123893722891808,0.0,0.00022123893722891808
