split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR

split4,2022-09-12,1,1000000,cutmix,100,20,big,Softmax,0.9354838709677419,0.9442353248596191,0.9527939558029175,0.804209291934967,0.9126523733139038,0.1594148576259613,0.12903225421905518,0.46474117040634155,0.3049512505531311,0.9999896883964539,0.9998303651809692,0.9780231714248657,0.9926143884658813,0.0,0.0,0.14749999344348907,0.013000000268220901
split4,2022-09-12,2,1000001,cutmix,100,20,big,Softmax,0.9392348087021756,0.9433345198631287,0.9516928195953369,0.8040461540222168,0.9118558168411255,0.1582895666360855,0.1305326372385025,0.4283570945262909,0.30907726287841797,0.9999890923500061,0.9997657537460327,0.9841307401657104,0.9946285486221313,0.0,0.0,0.0925000011920929,0.006000000052154064
split4,2022-09-12,3,1000002,cutmix,100,20,big,Softmax,0.9328582145536384,0.9445386528968811,0.9577147364616394,0.827900230884552,0.920649528503418,0.16354088485240936,0.1050262600183487,0.3833458423614502,0.27531883120536804,0.9999927282333374,0.9996908903121948,0.9798605442047119,0.9931814670562744,0.0,0.0,0.12800000607967377,0.008500000461935997
split4,2022-09-12,4,1000003,cutmix,100,20,big,Softmax,0.9396099024756189,0.9473035931587219,0.9515753984451294,0.8114134073257446,0.9150397777557373,0.16429106891155243,0.14853712916374207,0.4583646059036255,0.3199549913406372,0.9999927282333374,0.9997111558914185,0.9676768779754639,0.9891269207000732,0.0,0.0,0.2639999985694885,0.01899999938905239
split4,2022-09-12,5,1000004,cutmix,100,20,big,Softmax,0.9351087771942985,0.9555454850196838,0.9576054811477661,0.7963315844535828,0.9165660738945007,0.12378094345331192,0.11102775484323502,0.4714928865432739,0.3083270788192749,0.9999796152114868,0.9994561076164246,0.9795371890068054,0.9929909706115723,0.0,0.0,0.13650000095367432,0.007499999832361937
split1,2022-11-11,1,1000000,cutmix,100,20,big,Softmax,0.9373576309794989,0.9453091621398926,0.9013010263442993,0.7904415130615234,0.8916710019111633,0.14312832057476044,0.3230827748775482,0.6613515615463257,0.3899012804031372,0.9999849796295166,0.9997729659080505,0.987129807472229,0.9956291913986206,0.0,0.0,0.07285714149475098,0.006666666828095913
split1,2022-11-11,2,1000001,cutmix,100,20,big,Softmax,0.9400151860288535,0.9436118602752686,0.8903706073760986,0.752638578414917,0.8778596520423889,0.16249050199985504,0.3424449563026428,0.8857251405715942,0.4745633900165558,0.9999755620956421,0.9995604157447815,0.9857298731803894,0.9950886368751526,0.0,0.0,0.07571428269147873,0.010952381417155266
split1,2022-11-11,3,1000002,cutmix,100,20,big,Softmax,0.9381169324221716,0.9581421613693237,0.8683048486709595,0.7998640537261963,0.8862332105636597,0.1093394085764885,0.44608959555625916,0.5945330262184143,0.41989371180534363,0.9999970197677612,0.999657154083252,0.9857742190361023,0.9951428174972534,0.0,0.0,0.08428571373224258,0.006190476007759571
split1,2022-11-11,4,1000003,cutmix,100,20,big,Softmax,0.9343204252088079,0.9520304799079895,0.8763570189476013,0.8316705226898193,0.8945453763008118,0.1271829903125763,0.4062262773513794,0.5125284790992737,0.3621867895126343,0.999987006187439,0.9995299577713013,0.9766546487808228,0.992057204246521,0.0,0.0,0.15714286267757416,0.025714285671710968
split1,2022-11-11,5,1000004,cutmix,100,20,big,Softmax,0.9411541381928625,0.9533058404922485,0.8551278710365295,0.7926218509674072,0.8776466250419617,0.12604403495788574,0.5265755653381348,0.668185293674469,0.49506452679634094,0.9999706745147705,0.9997401237487793,0.9847679138183594,0.9948261976242065,0.0004761904710903764,0.0004761904710903764,0.08190476149320602,0.011428571306169033
